,Name,Recoil %,Ergonomics,Accuracy,Muzzle Velocity,sight,Mag,Icon
312,,Magpul MBUS Gen.2 Frontsight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4e/MBUS_Front_Icon.gif/revision/latest/scale-to-width-down/64?cb=20190105175320
313,,Magpul MBUS Gen.2 Rearsight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7d/MBUS_Rear_Icon.gif/revision/latest/scale-to-width-down/64?cb=20190105175221
314,,DS Arms Holland Type Rearsight for SA-58,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f5/SA58_Holand_Rear_Icon.png/revision/latest/scale-to-width-down/64?cb=20180804170123
315,,SA National Match .062 blade Frontsight M1A,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/18/062bladeicon.png/revision/latest/scale-to-width-down/64?cb=20180513163745
316,,Rearsight AR-15 Carry Handle,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f2/M4handleicon.png/revision/latest/scale-to-width-down/64?cb=20180513141444
317,,Mosin frontsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a1/Mosin_Front_Icon.png/revision/latest/scale-to-width-down/64?cb=20180919104630
318,,Mosin Rearsight,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f7/Mosin_Rear_Icon.png/revision/latest/scale-to-width-down/64?cb=20180919104700
319,,AK-105 Standard Rearsight (6P44 Sb.1-30),,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/40/6p44icon.png/revision/latest/scale-to-width-down/64?cb=20180506164335
320,,AK-74M Standard Rearsight (6P20 Sb.2),,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ad/6p20sb.2icon.png/revision/latest/scale-to-width-down/64?cb=20180817230219
321,,M14 Enlarged Military Aperture Rearsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/60/M14135icon.png/revision/latest/scale-to-width-down/64?cb=20180506165721
322,,APB Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/15/Apbrearicon.png/revision/latest/scale-to-width-down/64?cb=20180506165004
323,,APS Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/ce/APS_Rearsight_icon.png/revision/latest/scale-to-width-down/64?cb=20180506165248
324,,APS Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/99/APS_Frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20180506165140
325,,SA XS Post .125 blade Frontsight M1A,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/27/125bladeicon.png/revision/latest/scale-to-width-down/64?cb=20180506164637
326,,SIG MPX Flip Up Frontsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/97/Mpxfronticon.png/revision/latest/scale-to-width-down/64?cb=20190915014450
327,,UTG Low Profile A2 Frontsight AR-15,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/eb/M4fronticon.png/revision/latest/scale-to-width-down/64?cb=20180902223503
328,,Sig Sauer Standard Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/45/Ps226fronticon.png/revision/latest/scale-to-width-down/64?cb=20190915022407
329,,SIG MPX Flip Up Rearsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bc/Mpxrearicon.png/revision/latest/scale-to-width-down/64?cb=20190915014232
330,,Colt A2 Rearsight AR-15,,,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e7/M4rearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173903
331,,HK MP5 Drum Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a8/Mp5rearicon.png/revision/latest/scale-to-width-down/64?cb=20190517230439
332,,Sig Sauer P226 Standard Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/99/P226rearicon.png/revision/latest/scale-to-width-down/64?cb=20190915022238
333,,Izhmash SOK-12 rear sight,,,,100,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e9/Saiga12rearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173913
334,,SKS Standard Rearsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0a/Sksrearicon.png/revision/latest/scale-to-width-down/64?cb=20190915022312
335,,Izhmash SV-98 Rearsight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/59/Sb98rearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173915
336,,AS VAL Standard rear sight,,,,420,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9d/Asvalrearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173856
337,,VSS Vintorez Standard Rearsight,,,,420,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/10/Vssrearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173919
338,,Dead Ringer Snake Eye Glock front sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0f/Glocksefronticon.png/revision/latest/scale-to-width-down/64?cb=20180325173900
339,,Glock Front Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cb/Glockfsicon.png/revision/latest/scale-to-width-down/64?cb=20180325173858
340,,Truglo TFX Glock front sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/ff/Tfxfronticon.png/revision/latest/scale-to-width-down/64?cb=20190915022322
341,,Glock ZEV Tech Front sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/37/Gfszticon.png/revision/latest/scale-to-width-down/64?cb=20180327220533
342,,Dead Ringer Snake Eye Glock rear sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6f/Glockserearicon.png/revision/latest/scale-to-width-down/64?cb=20190516144933
343,,Glock Rear Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/bc/Glockrsicon.png/revision/latest/scale-to-width-down/64?cb=20180325173859
344,,Truglo TFX Glock rear sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/00/Tfxrearicon.png/revision/latest/scale-to-width-down/64?cb=20190915022332
345,,Glock ZEV Tech Rear sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3d/Grszticon.png/revision/latest/scale-to-width-down/64?cb=20180325173902
346,,AK-74 Standard Rearsight (6P1 Sb.2),,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a1/6p1sb2.png/revision/latest/scale-to-width-down/64?cb=20180708023434
347,,AKM Standard Rearsight (6P1 Sb.2-1),,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ab/6p1sb.2-1icon.png/revision/latest/scale-to-width-down/64?cb=20180708023428
348,,AKMB system rear sight,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/45/Akmbicon.png/revision/latest/scale-to-width-down/64?cb=20190709161451
349,,AKMP system front sight device,,,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/dc/Akmpfronticon.png/revision/latest/scale-to-width-down/64?cb=20180325173854
350,,AKMP system rear sight device,,,,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0a/Akmprearicon.png/revision/latest/scale-to-width-down/64?cb=20180325173855
351,,AKM / VPO-209 Standard Rearsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/57/Vporearicon.png/revision/latest/scale-to-width-down/64?cb=20180325175459
352,,Tactica Tula TT01 Rearsight Weaver Adapter,,-1,,500,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/da/Tt01icon.png/revision/latest/scale-to-width-down/64?cb=20190419002801
353,,Sight Mount Sig 220-239 rear sight bearing,,-2,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/16/Sm220rearicon.png/revision/latest/scale-to-width-down/64?cb=20180325175455
354,,Izhmash rear sight for PP-19-01,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/52/Pp19rearsight.png/revision/latest/scale-to-width-down/64?cb=20180325173911
355,,SOK-12 CSS SIGHT RAIL MOUNT rear sight,,,,100,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f9/Saiga12rearrailicon.png/revision/latest/scale-to-width-down/64?cb=20180325173914
356,,M9A3 Standard Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8c/M9A3StandardFrontSightIcon.png/revision/latest/scale-to-width-down/64?cb=20191031144134
357,,Beretta M9A3 Standard Rearsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/42/M9A3StandardRearSightIcon.png/revision/latest/scale-to-width-down/64?cb=20191031144317
358,,Sight Mount M9 rear sight bearing,,-2,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fb/M9_Sightmount_bearing_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226220435
359,,Rearsight ASh-12 Carry Handle,,-2,,600,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/de/Ash-12_Carryhandle_rail_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226220421
360,,ASh-12 Folding sight Frontsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d9/Ash-12_Frontsight_Icon.png/revision/latest/scale-to-width-down/64?cb=20191226220414
361,,Five-seveN Standard Rear-sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/66/Five-seveN_Standard_Rear-sight_icon.png/revision/latest/scale-to-width-down/64?cb=20191120104040
362,,Five-seveN MK2 Standard Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e0/Five-seveN_MK2_Standard_Frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20191120104219
363,,KAC Folding micro sight Rear,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cf/KAC_Folding_micro_sight_Rear_icon.png/revision/latest/scale-to-width-down/64?cb=20191229165722
364,,KAC Folding micro sight Frontsight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c6/KAC_Folding_micro_sight_Frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20191229174000
365,,B&T MP9 Standard Rear-sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/ed/B%26T_MP9_Standard_Rear-sight_icon.png/revision/latest/scale-to-width-down/64?cb=20191229175612
366,,M1911A1 Front Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/be/1911fsicon.png/revision/latest/scale-to-width-down/64?cb=20200509002108
367,,M1911A1 Rear Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6d/1911rsicon.png/revision/latest/scale-to-width-down/64?cb=20200509002146
368,,Ghost ring kit M590 Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/04/Ghost_ring_kit_M590_Frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20200728163300
369,,Ghost ring Rear sight for M590,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/0a/Ghost_ring_Rear_sight_for_M590_icon.png/revision/latest/scale-to-width-down/64?cb=20200728164721
370,,Novak Lomount Rear Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/30/Novak_Lomount_Rear_Sight_icon.png/revision/latest/scale-to-width-down/64?cb=20201020120847
371,,Novak Lomount Front Sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6c/Novak_Lomount_Front_Sight_icon.png/revision/latest/scale-to-width-down/64?cb=20201020120249
372,,"Kriss ""Defiance Low Profile Flip Up"" Frontsight",,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a3/Vector_frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20210127004452
373,,KRISS Defiance Low Profile Flip-Up rear sight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f9/Vector_rearsight_icon.png/revision/latest/scale-to-width-down/64?cb=20210127004525
374,,SIG MCX Folding sight Frontsight,,+1,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1d/Mcx_frontsight_icon.png/revision/latest/scale-to-width-down/64?cb=20201229142332
375,,SIG MCX Flip Up sight Rearsight,,,,300,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/82/Mcx_rearsight_icon.png/revision/latest/scale-to-width-down/64?cb=20201225042316
376,,PL-15 Standard Rear-sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1f/Pl15rearsighticon.png/revision/latest/scale-to-width-down/64?cb=20210330175230
377,,PL-15 extended rear sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/52/PL-15_extended_rear_sight_icon.png/revision/latest/scale-to-width-down/64?cb=20210331133624
378,,PL-15 Standard Frontsight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/cb/Pl15frontsight.png/revision/latest/scale-to-width-down/64?cb=20210330180529
379,,PL-15 extended front sight,,,,200,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/78/Pl15extfrontsighticon.png/revision/latest/scale-to-width-down/64?cb=20210330183839
380,Icon,Name,Recoil %,Ergonomics,Accuracy %,Sighting Range,Magnification,None
381,,PU 3.5x riflescope,,-5,,500,3.5x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/77/PU_35x_Icon.png/revision/latest/scale-to-width-down/64?cb=20181104144804
382,,Nightforce ATACR 7-35x56 riflescope,,-8,,2000,16x/7x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8b/Nightforce_ATACR_7-35x56Icon.png/revision/latest/scale-to-width-down/127?cb=20180430215307
383,,Leupold Mark 4 LR 6.5-20x50 riflescope,,-3,,1500,20x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fe/6.5-20x50icon.png/revision/latest/scale-to-width-down/127?cb=20180325164544
384,,Optical scope March Tactical 3-24x42 FFP,,-4,,1000,14x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/32/3-24x42icon.png/revision/latest/scale-to-width-down/127?cb=20180325164543
385,,Hensoldt FF 4-16x56 scope,,-6,,1500,16x/4x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ad/Ff3-12icon.png/revision/latest/scale-to-width-down/127?cb=20190419200122
386,,Zenit-Belomo PSO 1 4x24 scope,,-7,,600,4x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/96/Zenit-Belomo_PSO_1_4x24_scope_icon.png/revision/latest/scale-to-width-down/127?cb=20190410043623
387,,Zenit-Belomo PSO 1M2 4x24 scope,,-7,,600,4x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/2b/PSO_1M2_Icon.png/revision/latest/scale-to-width-down/127?cb=20190414143013
388,,Zenit-Belomo PSO 1M2-1 4x24 scope,,-7,,600,4x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/fe/Psoicon.png/revision/latest/scale-to-width-down/127?cb=20200501164827
389,,EOtech Vudu 1-6 riflescope,,-3,,1500,6x/1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/90/1_6_vudu_icon.png/revision/latest/scale-to-width-down/127?cb=20180723173347
390,,Burris FullField TAC 30 1-4x24 riflescope,,-3,,800,4x/1x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6a/TAC30_Icon.png/revision/latest/scale-to-width-down/127?cb=20180727200839
391,,NPZ USP-1 4x scope,,-6,,600,4x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1e/NPZ_USP-1_4x_scope_icon_v2.png/revision/latest/scale-to-width-down/64?cb=20191028054408
392,,KMZ 1P59 3-10x riflescope,,-8,,800,10x/3x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d9/1P59_Icon.png/revision/latest/scale-to-width-down/127?cb=20200501194705
393,,KMZ 1P69 3-10x riflescope,,-8,,800,10x/3x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/3f/KMZ_1P69_3-10x_riflescope_icon.png/revision/latest/scale-to-width-down/127?cb=20191113085558
394,,VOMZ Pilad 4x32 riflescope,,-4,,800,4x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/b8/VOMZ_Pilad_4%D1%8532_riflescope_icon.png/revision/latest/scale-to-width-down/127?cb=20200102113238
395,,NcSTAR ADO P4 Sniper 3-9x42 riflescope,,-2,,1000,9x/3x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/c/c4/NcSTAR_ADO_P4_Sniper_3-9x42_riflescope_icon.png/revision/latest/scale-to-width-down/127?cb=20200102113638
396,Icon,Name,Recoil %,Ergonomics,Accuracy %,Sighting Range,Magnification,None
397,,Vulcan MG night scope 3.5x,,-13,,500,3.5x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a4/Vulcan_MG_night_scope_3.5x_Icon.png/revision/latest/scale-to-width-down/127?cb=20180803230644
398,,Trijicon REAP-IR thermal riflescope,,-9,,500,2.5x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1d/Thermalicon.png/revision/latest/scale-to-width-down/127?cb=20180325164616
399,,NSPU-M night Scope,-5,-18,,300,3.5x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/19/Nspu-micon.png/revision/latest/scale-to-width-down/127?cb=20180325164603
400,,FLIR RS-32 2.25-9x 35mm 60Hz thermal riflescope,,-7,,500,9x/2.25x,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/94/FLIR_RS-32_Icon.png/revision/latest/scale-to-width-down/127?cb=20200501193215
401,Icon,Name,Ergonomics,0,0,0,0,None
402,,"Geissele ""SCH"" charging handle for MPX",+2,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/35/SCH_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414152756
403,,ADAR 2-15 charging handle for AR-15,,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/70/ADAR2-15ChargingHandleicon.png/revision/latest/scale-to-width-down/64?cb=20200501131458
404,,HK Extended latch Charging Handle,+1,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/76/Hkchargehandleicon.png/revision/latest/scale-to-width-down/64?cb=20190106142114
405,,Zenit RP-1 charge handle for AK,+1,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/f/f8/Rp-1icon.png/revision/latest/scale-to-width-down/64?cb=20190517213214
406,,Badger Ordnance Tactical Charging Handle Latch,+1,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/2/21/Botlicon.png/revision/latest/scale-to-width-down/64?cb=20190517230354
407,,Raptor charging handle for AR-15,+3,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9c/Raptor_charging_handle_for_AR-15_icon.gif/revision/latest/scale-to-width-down/64?cb=20200326203222
408,,Colt AR-15 charging handle for AR-15,,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/06/Ar15handleicon.png/revision/latest/scale-to-width-down/64?cb=20190517230529
409,,MP5 Cocking Handle,,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/da/Mp5handleicon.png/revision/latest/scale-to-width-down/64?cb=20180325183003
410,,SIG double latch charging handle for MPX,+1,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4f/Mpxdoublelatchicon.png/revision/latest/scale-to-width-down/64?cb=20180817232156
411,,SIG single latch charging handle for MPX,,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/5/54/Mpxhandleicon.png/revision/latest/scale-to-width-down/64?cb=20180325183004
412,,FN charge handle for P90,,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d1/FN_charge_handle_for_P90_Icon.png/revision/latest/scale-to-width-down/64?cb=20200502195625
413,,K&M The Handler charge handle for P90,+1,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/d0/K%26M_The_Handler_charge_handle_for_P90_icon.png/revision/latest/scale-to-width-down/64?cb=20200104162411
414,,MP5 Kurz Cocking Handle,,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/91/MP5_Kurz_Cocking_Handle_icon.png/revision/latest/scale-to-width-down/64?cb=20191119102407
415,,KAC Ambidextrous Charging Handle for AR-10,+1,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/ee/KAC_Ambidextrous_Charging_Handle_for_AR-10_icon.png/revision/latest/scale-to-width-down/64?cb=20191229110146
416,,B&T charging handle for MP9,,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/9d/B%26T_charging_handle_for_MP9_icon.png/revision/latest/scale-to-width-down/64?cb=20191229111139
417,,KAC Charging Handle for SR-25,,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/9/95/KAC_Charging_Handle_for_SR-25_icon.png/revision/latest/scale-to-width-down/64?cb=20191229112436
418,,Geissele ACH charging handle for AR-15,+2,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/6d/ACH_Charging_handle_Icon.png/revision/latest/scale-to-width-down/64?cb=20200921203921
419,,Avalanche Mod.2 charging handle for AR-15,+3,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/48/Avalanche_Mod.2_charging_handle_for_AR-15_icon.png/revision/latest/scale-to-width-down/64?cb=20201020135542
420,,Sig-Sauer charging handle for MCX,,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/be/MCX_Charging_Handle_Icon.png/revision/latest/scale-to-width-down/64?cb=20201228212218
421,,MASP Ambi battle charging handle for AR-15,+1,0,0,0,0,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/ed/MASP_CHar_Icon.png/revision/latest/scale-to-width-down/64?cb=20210330191231
422,Icon,Name,Recoil %,Ergonomics,Check Speed Modifier %,Load/Unload Speed Modifier %,Capacity,None
423,,F5 MPX Drum mag 50-round 9x19 magazine,,-15,+15,+30,50,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/33/F5_MPX_Drum_mag_50-round_9x19_magazine_Icon.png/revision/latest/scale-to-width-down/64?cb=20190419202005
424,,TROY Battlemag 5.56x45 STANAG 30-round magazine,,-2,,-10,30,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/3/33/TroyBattlemag30Icon.png/revision/latest/scale-to-width-down/64?cb=20190411102711
425,,ProMag AALVX 35 7.62x39 35-round SKS magazine.,,-7,+20,+20,35,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/64/AALVX_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414152947
426,,MPX with TTI Base pad +11 41-round 9x19 magazine,,-4,-50,,41,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/ad/MPX_Base_Pad_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414153138
427,,"7.62x51 metal magazine for VPO-101 and compatibles, 10-round capacity",,-3,-15,,10,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/e/e1/VPO-101_10rnd_mag_icon.png/revision/latest/scale-to-width-down/64?cb=20190414000138
428,,5-shot MC 20-01 Sb.3 20ga magazine for TOZ-106,,-4,,-10,5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/4b/Sb5_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414151851
429,,20-round SVD 7.62x54 magazine,,-2,,,20,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/44/SVD_20_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414142147
430,,"7.62x51 metal magazine for VPO-101 and compatibles, 5-round capacity",,+1,-30,-10,5,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/b/ba/VPO-101Magicon.png/revision/latest/scale-to-width-down/64?cb=20190411033446
431,,ProMag AK-A-16 73-round 7.62x39 magazine for AKM and compatibles,,-18,+15,+60,73,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/4/41/ProMag_AK-A-16_73-round_7.62x39_magazine_for_AKM_and_compatibles_icon.png/revision/latest/scale-to-width-down/127?cb=20190412073533
432,,P226 Extended magazine 9x19,,-3,,,20,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8e/P226ExtMagIcon.png/revision/latest/scale-to-width-down/64?cb=20190411105920
433,,HK PM Gen.2 5.56x45 STANAG 30-round magazine,,-3,,,30,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/8/8e/HKPM30RndIcon.png/revision/latest/scale-to-width-down/64?cb=20190411104937
434,,10 rnds. SKS internal box magazine 7.62x39,,-1,,,10,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/0/00/Editing_10_rnds._SKS_internal_box_magazine_7.62x39_icon.png/revision/latest/scale-to-width-down/64?cb=20190410032358
435,,10-round SVD 7.62x54 magazine,,-1,-15,-15,10,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/7f/10-round_SVD_7.62x54_magazine_icon.png/revision/latest/scale-to-width-down/64?cb=20190410223316
436,,HK Polymer mag 30 5.56x45 STANAG 30-round magazine,,-2,+20,,30,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/72/HK_Polymer_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414144958
437,,100-round MAG5-100 5.56x45 STANAG magazine,,-27,+30,+30,100,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/1/1c/MAG5-100_Icon.png/revision/latest/scale-to-width-down/64?cb=20190414152305
438,,Standard MPX 20-round 9x19 magazine,,+4,-50,,20,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/d/df/Standard_MPX_20-round_9x19_magazine_icon.png/revision/latest/scale-to-width-down/64?cb=20190410032547
439,,PUFGUN SG-919 20 20-round 9x19 magazine for PP-19-01,,+5,,-15,20,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/a/a7/PUFGUN_SG-919_20_20-round_9x19_magazine_for_PP-19-01_icon.png/revision/latest/scale-to-width-down/64?cb=20190103093837
440,,PUFGUN SG-919 30 30-round 9x19 magazine for PP-19-01,,-2,,-15,30,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/7/75/PUFGUN_SG-919_30_30-round_9x19_magazine_for_PP-19-01_icon.png/revision/latest/scale-to-width-down/64?cb=20190103093906
441,,Arsenal CWP 30-round 5.56x45 magazine for SLR-106 and compatible weapons,,-2,-50,,30,https://static.wikia.nocookie.net/escapefromtarkov_gamepedia/images/6/60/Cwpmagicon.png/revision/latest/scale-to-width-down/64?cb=20190106142048
